,total_citation,hindex,Years active,No_of_publication
DANIEL J. BENNETT,37,3,3,18
Easton R. White,709,13,8,40
Eric Stabb,5788,37,26,82
JENNIFER M. BHATNAGAR,3764,25,14,87
John J. Ewel,23273,52,37,152
JOHN SAKULICH,395,8,16,15
LAURA J. OLSEN,350,6,18,25
Michael E. Burns,934,19,13,84
Michael I. Coates,6412,42,31,135
Stephen Wagner,17812,43,25,208
WILLIAM I. LUTTERSCHMIDT,2218,18,28,87
William R. McCleary,2900,20,31,27
ALEXANDROS MAKRIYANNIS,32683,93,27,822
Alison Flynn,1730,22,15,74
ANDREI TOKMAKOFF,17540,73,28,273
Arthur Bragg,3182,27,19,93
Bing Xu,50495,12,6,14
C. Dale Keefe,1237,22,30,59
Cathleen Crudden,9221,53,22,213
Cecilia I. Zurita Lopez,1216,14,15,25
Chng Shu Sin,2190,21,19,33
Curtis Berlinguette,12112,57,18,240
Deryn Fogg,6364,43,25,141
FRASER F. FLEMING,4184,27,25,150
Gregory J. Smith,1265,16,38,58
Gregory K. Friestad,2945,29,23,91
Gregory R. Bowman,8081,43,13,83
J. Martin Scholtz,15931,53,29,121
Jason Gilmore,395,12,23,49
Jennifer D. Adams,879,16,13,83
Jimmy Blair,49213,106,22,380
Julian Chan,2349,28,18,56
Katharina M. Fromm,10511,43,23,320
Malika Jeffries-EL,3766,27,17,92
Matt F. Simcik,4643,24,24,42
Matthew L. Miller,1558,16,20,47
Michael A. Brook,20387,59,22,213
Michael Organ,13392,55,26,253
Nicolai Lehnert,8820,50,22,251
P. Shiv Halasyamani,14630,68,23,306
Paul Mayer,4749,34,22,144
Phillip Sharp,3707,14,8,24
Piotr Piecuch,14992,67,28,240
Robert Campbell,23459,61,20,244
ROBERT H. MORRIS,19759,70,34,345
Roman Krems,8025,43,21,190
Scott A. Snyder,10159,46,22,175
Sherri A. Mason,6329,20,8,41
Stefano Cesco,7439,48,22,413
Stephen Newman,13992,46,18,336
Steve Scheiner,26567,83,38,559
Steven Holdcroft,19889,77,28,408
Sudeep Bhattacharyay,1002,17,25,53
Tara Kahan,1893,24,15,97
Thomas Baumgartner,8583,26,17,42
Thomas Vogt,19620,64,29,500
TYLER MELDRUM,454,12,15,28
Vronique GOUVERNEUR,18894,64,24,355
YUAN LIU,15480,45,11,107
Jacqueline E. Rice,948,17,19,71
S. Raghavan,15618,71,20,202
Amalin Prince,242,9,12,48
Arindam Sarkar,1743,15,16,41
Jeanne Marie VanBriesen,7264,35,23,163
Manjusri Misra,37137,88,18,818
Ben Webster,1690,23,15,60
ADINA LUICAN-MAYER,4659,17,15,73
Andrew Leifer,1812,14,11,16
